date,excercise,set,reps,weight
2020-09-12,deadlift,1,3,175
2020-09-12,deadlift,2,3,195
2020-09-12,deadlift,3,3,215
2020-09-12,deadlift,4,3,235
2020-09-12,deadlift,5,3,255
2020-09-05,deadlift & carry,1,3,175
2020-09-05,deadlift & carry,2,3,185
2020-09-05,deadlift & carry,3,3,195
2020-09-05,deadlift & carry,4,3,205
2020-09-05,deadlift & carry,5,3,210
2020-09-05,deadlift,1,3,175
2020-09-05,deadlift,2,3,185
2020-09-05,deadlift,3,3,195
2020-09-05,deadlift,4,3,205
2020-09-05,deadlift,5,3,210
2020-08-27,deadlift,1,3,165
2020-08-27,deadlift,2,3,175
2020-08-27,deadlift,3,3,195
2020-08-27,deadlift,4,3,205
2020-08-27,deadlift,5,3,225
2020-08-27,deadlift,6,3,235
2020-08-22,deadlift,1,3,165
2020-08-22,deadlift,2,3,175
2020-08-22,deadlift,3,3,195
2020-08-15,deadlift,4,3,205
2020-08-15,deadlift,5,3,225
2020-08-15,deadlift,1,5,150
2020-08-15,deadlift,2,5,165
2020-08-15,deadlift,3,5,185
2020-08-15,deadlift,4,5,205
2020-08-15,deadlift,5,5,210
2020-08-15,deadlift & carry,1,1,150
2020-08-15,deadlift & carry,2,1,165
2020-08-15,deadlift & carry,3,1,185
2020-08-15,deadlift & carry,4,1,205
2020-08-7,deadlift,1,5,135
2020-08-7,deadlift,2,5,155
2020-08-7,deadlift,3,5,175
2020-08-7,deadlift,4,5,195
2020-08-7,deadlift,4,1,200
2020-08-7,deadlift & carry,1,1,135
2020-08-7,deadlift & carry,2,1,155
2020-08-7,deadlift & carry,3,1,175
2020-08-7,deadlift & carry,4,1,195
2020-08-7,deadlift & carry,5,1,200
2020-07-18,deadlift,1,5,135
2020-07-18,deadlift,2,5,155
2020-07-18,deadlift,3,5,175
2020-07-18,deadlift,4,5,185
2020-07-18,deadlift & carry,1,1,135
2020-07-18,deadlift & carry,2,1,155
2020-07-18,deadlift & carry,3,1,175
2020-07-18,deadlift & carry,4,1,185
2020-07-4,deadlift,1,5,135
2020-07-4,deadlift,2,5,145
2020-07-4,deadlift,3,3,150
2020-07-4,deadlift,4,3,175
2020-07-4,deadlift,4,3,185
2020-07-4,deadlift,1,5,135
2020-07-4,deadlift,2,5,155
2020-07-4,deadlift,3,3,165
2020-07-4,deadlift,4,3,180
2020-07-4,deadlift & carry,1,1,135
2020-07-4,deadlift & carry,2,1,155
2020-07-4,deadlift & carry,3,1,165
2020-07-4,deadlift & carry,4,1,180
2020-06-25,deadlift,1,5,135
2020-06-25,deadlift,2,5,135
2020-06-25,deadlift,3,3,145
2020-06-25,deadlift,4,3,150
2020-06-25,deadlift & carry,1,1,135
2020-06-25,deadlift & carry,2,1,135
2020-06-25,deadlift & carry,3,1,145
2020-06-25,deadlift & carry,4,1,150
2020-06-9,deadlift,1,5,115
2020-06-9,deadlift,2,5,135
2020-06-9,deadlift,3,3,145
2020-06-9,deadlift,4,3,150
2020-06-9,deadlift,4,3,155
2020-05-28,deadlift,1,6,115
2020-05-28,deadlift,2,6,125
2020-05-28,deadlift,3,6,135
2020-05-28,deadlift,4,6,135
2020-05-28,deadlift & carry,1,1,115
2020-05-28,deadlift & carry,2,1,125
2020-05-28,deadlift & carry,3,1,135
2020-05-28,deadlift & carry,4,1,135
2020-05-21,deadlift,1,5,110
2020-05-21,deadlift,2,5,135
2020-05-21,deadlift,3,3,150
2020-05-21,deadlift,4,3,160
2020-05-21,deadlift,5,1,160
2020-05-21,deadlift,6,1,160
2020-05-15,deadlift,1,6,85
2020-05-15,deadlift,1,6,95
2020-05-15,deadlift,1,6,105
2020-05-15,deadlift,1,6,115
2020-03-17,deadlift,1,6,55
2020-03-17,deadlift,2,6,65
2020-03-17,deadlift,3,6,75
2020-03-17,deadlift,4,6,85
2020-03-17,deadlift & carry,1,1,55
2020-03-17,deadlift & carry,2,1,65
2020-03-17,deadlift & carry,3,1,75
2020-03-17,deadlift & carry,4,1,85
2020-02-17,deadlift,1,6,55
2020-02-17,deadlift,2,6,55
2020-02-17,deadlift,3,6,55
2020-02-17,deadlift,4,6,55
2020-02-17,deadlift & carry,1,1,55
2020-02-17,deadlift & carry,2,1,55
2020-02-17,deadlift & carry,3,1,55
2020-02-17,deadlift & carry,4,1,55




